WL,PC1,PC2,PC3,PC4
737,0.147623435,0.053880256,-0.06980153,-0.036140191
738,0.148574339,0.055878231,-0.07947073,-0.027946486
739,0.149068343,0.05790895,-0.087522857,-0.019264629
740,0.149132715,0.059579969,-0.095153514,-0.010910496
741,0.149177475,0.059953666,-0.106223945,-0.00483374
742,0.14829549,0.060429646,-0.114254328,0.001945447
743,0.145925761,0.061822626,-0.114544437,0.010722252
744,0.143145119,0.063243903,-0.112704803,0.019476729
745,0.141386333,0.063528223,-0.116349961,0.02548787
746,0.139828038,0.062918896,-0.122568328,0.029541969
747,0.13698467,0.063349771,-0.121257626,0.03566479
748,0.133691755,0.064068127,-0.116704275,0.041983369
749,0.130313258,0.065662848,-0.108300553,0.049532488
750,0.126331144,0.064922727,-0.105598104,0.053084977
751,0.122345259,0.06478683,-0.099614703,0.056986662
752,0.118607419,0.066077829,-0.088817856,0.062906236
753,0.114433906,0.066555368,-0.079209229,0.067413846
754,0.10977001,0.064915955,-0.075078393,0.068254741
755,0.106115115,0.065103876,-0.066913926,0.071550313
756,0.103328284,0.064091714,-0.065165609,0.072429736
757,0.100620574,0.06225072,-0.06586834,0.071504796
758,0.097414099,0.061123802,-0.062619875,0.071910636
759,0.093853371,0.060765337,-0.055330444,0.07348244
760,0.090171358,0.060489796,-0.046860644,0.074903372
761,0.086675829,0.060210068,-0.039041471,0.076308967
762,0.083607827,0.060094918,-0.031794783,0.077831597
763,0.080593344,0.059483827,-0.026114602,0.078365135
764,0.077531894,0.058247567,-0.022612356,0.077873653
765,0.074450401,0.056320432,-0.021197712,0.076056632
766,0.071687766,0.055345928,-0.017328304,0.075724716
767,0.069043458,0.055068587,-0.011330944,0.076508859
768,0.066038674,0.053880435,-0.007370734,0.075785757
769,0.062822387,0.052974022,-0.00172095,0.075557322
770,0.059849823,0.052425579,0.004501112,0.075818943
771,0.057306254,0.051599141,0.008533934,0.075487328
772,0.05495402,0.050763856,0.012022368,0.075060373
773,0.052475639,0.050469921,0.017952559,0.075455168
774,0.049646964,0.050989028,0.027683143,0.077355657
775,0.046588242,0.051903655,0.039675912,0.079842995
776,0.043675556,0.05275372,0.051054352,0.082159474
777,0.040881055,0.053568404,0.062006296,0.084356216
778,0.038219041,0.054257507,0.072168619,0.086283662
779,0.035654372,0.054814163,0.081620332,0.087936051
780,0.033196252,0.055126658,0.089939577,0.089122947
781,0.030808385,0.05519732,0.097255252,0.089842003
782,0.028567744,0.055200314,0.103995406,0.09033855
783,0.026483882,0.055308321,0.110645223,0.090968966
784,0.024560059,0.055376389,0.116626594,0.091548225
785,0.022761825,0.055424844,0.122242507,0.091999172
786,0.021086833,0.055425362,0.127327748,0.092337205
787,0.019582524,0.055289795,0.131419082,0.092415691
788,0.018157727,0.055067976,0.134996905,0.092309467
789,0.016854581,0.054637694,0.137550354,0.091817029
790,0.015658997,0.053924958,0.138742648,0.090766425
791,0.014546002,0.052998485,0.138939249,0.089363377
792,0.013575124,0.051956111,0.138297208,0.087751051
793,0.012750654,0.050954688,0.137365096,0.086158322
794,0.012061979,0.049931194,0.135987752,0.084547402
795,0.011404851,0.048774855,0.133948764,0.082635688
796,0.011065462,0.047326974,0.129945505,0.080228239
797,0.0107843,0.046125454,0.126642131,0.078208005
798,0.010590794,0.045301175,0.12435308,0.076854328
799,0.010304038,0.044075538,0.120986305,0.074785063
800,0.010021026,0.042865703,0.11766325,0.072744689
801,0.009742668,0.041675677,0.11439588,0.070735251
802,0.009463419,0.040481733,0.111117771,0.06871929
803,0.009193373,0.039327273,0.107946514,0.066772191
804,0.008922511,0.038169072,0.10476735,0.06481375
805,0.008661233,0.037051986,0.101700033,0.0629256
806,0.008399638,0.035933465,0.098628118,0.061037001
807,0.008142371,0.034833468,0.09560767,0.059176909
808,0.007890093,0.033754603,0.092645847,0.057351496
809,0.007641143,0.032689965,0.089724173,0.055548039
810,0.007397389,0.03164767,0.086862587,0.053785156
811,0.007152505,0.030600383,0.083986879,0.052013114
812,0.006917034,0.02959327,0.081223126,0.050306087
813,0.006681658,0.02858667,0.078459147,0.048602649
814,0.006450223,0.027596823,0.075741869,0.04692551
815,0.006223356,0.026626599,0.07307768,0.045281118
816,0.006001248,0.025676472,0.070471268,0.043669691
817,0.005783386,0.02474469,0.06791323,0.042089255
818,0.005565386,0.023812202,0.065353818,0.040507618
819,0.005356916,0.022920362,0.062906671,0.038993718
820,0.005148328,0.022028253,0.060457839,0.037479402
821,0.004948713,0.021173992,0.058116553,0.036024875
822,0.004749018,0.020319773,0.055772761,0.034573365
823,0.004553662,0.019484031,0.053479406,0.03315349
824,0.004363393,0.018669978,0.051245865,0.031771177
825,0.004172422,0.017852872,0.049005577,0.03037918
826,0.003990175,0.0170731,0.046866506,0.029050736
827,0.003808972,0.016297949,0.044739383,0.027733778
828,0.00363699,0.015562072,0.042720066,0.02648337
829,0.003464434,0.014824234,0.040691072,0.025232429
830,0.003296839,0.014107456,0.038722165,0.024011516
831,0.003133827,0.013409942,0.036808779,0.022824145
832,0.002975432,0.012732195,0.034949337,0.021670476
833,0.002821784,0.012070823,0.033160397,0.020562402
834,0.002668245,0.011414072,0.031356545,0.019444314
835,0.002524611,0.010799684,0.029669428,0.018400036
836,0.002380452,0.010182987,0.027975983,0.017349315
837,0.00224139,0.009588122,0.02634241,0.016334355
838,0.002107062,0.009011001,0.02477714,0.01534287
839,0.001977379,0.008456462,0.023252746,0.014399274
840,0.001852503,0.007922678,0.021784038,0.013489131
841,0.001727925,0.007389089,0.020326457,0.012558981
842,0.001613235,0.006899328,0.018975246,0.011714161
843,0.001500776,0.006420569,0.017641017,0.010909893
844,0.001389844,0.005945726,0.016338214,0.010105102
845,0.001288743,0.005513546,0.015149207,0.00936757
846,0.001187072,0.005078592,0.013954183,0.008628371
847,0.001085362,0.004643426,0.012758951,0.007889233
848,0.000993266,0.004249288,0.011677701,0.007217996
849,0.000906071,0.003876024,0.010654911,0.006578568
850,0.000819033,0.003505043,0.009621643,0.00597998
